company,job_count
Cornerstone,5
MSC Technology,5
Xerago B2B,5
Nordex Engineering And Technology,5
Calpion Software Technologies Private Ltd,5
Assurex India,5
Aspera Advisors,5
Bharat Earn Technology,5
Agneyas Labs,5
Vservice It Solutions,5
Localization Academy,5
Total Automation Solutions - Healthosphere,5
Toonsutra,5
Oracle,5
eTeam Inc.,5
Aarka,5
Penthara Technology,5
Appzlogic,5
Gravitie Knowledge Services,5
Cornerstone India,5
Crompton Greaves Consumer Electricals,5
Techwize,5
Codeelan Technologies,5
Green Clover,5
Colgate-Palmolive (India),5
Commerciax Infotech,5
Accion Labs,5
Elevation Capital,5
Graphene Ai,5
Accely,5
Nium India,5
Yes Bank,5
Frisco Analytics,5
Applyboard,5
Poshmark,5
Lumen Technologies,5
Z2plus Placement & Security Agency Pvt. Ltd.,5
Pattern Technologies,5
NiCE,5
10decoders,5
YO It Consulting,5
Brainvire Infotech,5
Inorg,5
IT Services Company,5
Mullers Solutions,5
Sciative Solutions,5
Frogdata,5
Sunovaa Tech,5
Adalat Ai,5
Lennox India Technology Centre (LITC),5
rigbot.com,5
Nextloop Technologies,5
BDO International Limited,5
The Omnihire,5
Pri India It Services,5
MTC Pvt Ltd,5
Criticalriver,5
Equal Experts,5
Gedu Services,5
Lumasense Technologies,5
Tech Holding,5
Baxter,5
NPS Prism,5
AI Fund,5
Sprinto Hq,5
Global MNC,5
MAN TRUCK BUS,5
Addepar,5
Sia Partners,5
Affinity Global Advertising,5
Webkit24,5
Foundation Ai,5
Tellius,5
Highbrow Technology Inc,5
ValGenesis,5
Edifecs Technologies,5
Attero Recycling,5
Panapps,5
Pradeepit Consulting Services,5
Feather Thread Corporation,5
Amh Services,5
Solytics Partners,5
Xiotz,5
Qnance,5
Cadence,5
Connectfor,5
Instatalent Recruit LLP,5
Diggibyte Technologies,5
Unitedlex,5
G4S,5
Turing Global India,5
Gyantu,5
"JPMorgan Chase Bank, N.A.",5
Awesome Analytics,5
Indo Fuji Information Technologies,5
Teckvalley India,5
Dow Chemical International Private Limited,5
AMS,5
Minfy,4
Finoit Technologies,4
Pioneer Infotech,4
Solventum,4
Virtues R & D,4
Blue Yonder,4
Zivanta Analytics,4
Glance,4
Digital Aptech,4
Viaprom Technologies,4
Talent Toppers,4
Majulah Infotech,4
Cynet,4
Droisys,4
ValuePoint,4
Meeden Labs,4
Innominds Software,4
Infusemedia,4
Broadridge,4
Tata Power,4
Morgan Stanley,4
Ocwen Financial Corporation,4
SI UK,4
Procdna,4
Ekloud Data Labs,4
Asite Solutions,4
Talent Smart Soft Solutions,4
Lofty Technologies,4
Wynploy,4
Golden Management Services,4
Jet2 Travel Technologies,4
Aptech Limited,4
Masters Union,4
Magic Finserv A Unit Of Magic Software,4
Pro Ultimus,4
Sberbank,4
Mobio Solutions,4
Quincy Compressor,4
Sigmoid Analytics,4
Prisma Global,4
Sgvp Holistic Hospital,4
Cloudesign,4
Umanist India,4
Medusind,4
Morningstar,4
Dhurin,4
Reliance Foundation Institution Of Education And Research,4
WIN Home Inspection,4
Toppan Merrill,4
Safeway Insurance,4
Relevantz Technology Services,4
Vrize,4
Techmasters Infomatrix,4
Toast,4
Glencore,4
Idexcel,4
Brand Catalyst Media,4
Apollo Global Management,4
Vichara Technologies,4
Best Egg,4
Im24x7 Delta Solutions,4
Porch,4
GIG Consultants,4
Boston Analytics,4
Jubilant FoodWorks (JFL),4
Jrk Infotech,4
SS&C Technologies,4
Ford,4
Two95 International,4
Comfrt,4
Societe Generale Global Solution Centre,4
Buildingblocks Software Services,4
Cigna Medical Group,4
Systems Plus Solutions Pvt Ltd,4
Perficient,4
Microchip Technology,4
Primohunt Corporate,4
ADROITENT,4
Love In Store,4
Applicate,4
Moody's Analytics,4
360 Degree Cloud Technologies,4
Capital One,4
Puresoftware Technology,4
Stride India,4
Bristlecone,4
Aspire Systems,4
Tanisha Systems,4
Geekyants,4
DTDC Express,4
AArete,4
Comprinno Technologies,4
Antino Labs,4
Blue Planet Solutions,4
Trigent Software,4
GroundTruth Careers,4
Xenon7,4
Medhavi Skills University,4
Pocket Fm,4
Xebia Academy Global,4
Mindwise Technologies,4
V2soft,4
TeamLease,4
Sapiens,4
Srivango,4
Steady Rabbit,4
Talent Corner HR Services,4
SBI Card,4
Teesta Investment,4
SSP Solutions,4
Uber,4
Revvity Healthcare,4
RiDiK,4
Manpowergroup Services India,4
HashedIn,4
Harjai Computers,4
Wadhwani Ai,4
National Payments Corporation of India (NPCI),4
Coderea,4
Evanti Tech,4
Espire Infolabs,4
The Art Of Living Human Resources,4
Samatrix Consulting,4
Agilent Technologies,4
Alcatec Research Laboratories,4
CSG,4
Ultahost,4
Integrated Personnel Services,4
Rabbit And Tortoise Technology Solutions,4
eBay,4
Verdantis,4
Metabase,4
Brickwork Ratings (BWR),4
Ignitho,4
Ameriprise Financial,4
Wintech Services India Pvt Ltd,4
VyntraPro Innovation,4
Mypcot Infotech,4
Tcg Digital Solutions,4
GAC Solutions,4
TechF,4
tekskills,4
Shaip Ai Data (india),4
Valuedx Technologies,4
Red Hat,4
ags,4
Mantras2Success Consultants,4
Arise Solution,4
Krish Technolabs,4
Analytics Liv Digital,4
Yotta Infrastructure,4
Ventures Hrd Centre,4
Talentzo Delhi,4
Legistify,4
Tudip Technologies,4
Myers Holum,4
Vlaunchu,4
Tata Technologies,4
Apptad,4
Anheuser Busch InBev,4
Eyeota,4
Amici Global Solutions,4
Stalwart Themius,4
Cloudthat Technologies,4
Prodcon Tech Services,4
Sopra Steria,4
Decisiontree Analytics & Services,4
Unified Infotech,4
Ediffy,4
Scymes Services,4
Wsp Consultants,4
TSIT Digital,4
66degrees,4
Aurigo Software Technologies,4
Jean Martin Systems,4
Home Credit,4
Learntastic,4
PURVIEW,4
Atlas,4
Peroptyx,4
NIMOY.AI,4
Firstcall Hresource,4
Jio Institute,4
Robosoft Technologies,4
Kosqu Technolabs,4
Tata Electronics (TEPL),4
Excelra,4
Bottom Line,4
Talworx,4
HT Digital Streams,4
Bayer Zydus Pharma,4
Docusign,4
ADA Global,4
CrossAsyst,4
Agileengine,4
Indo French Chamber of Commerce and Industry (IFCCI),4
IT,4
General Mills,4
Konkem Industries,4
Indusa,4
Group Bayport,4
Taskus India,4
Randomtrees,4
CMMI Level5 Company!,4
PRI Global,4
Agilo Research,4
Ergode It Services,4
Tpgi,4
WM UNIVERSAL SOLUTIONS PRIVATE LIMITED,4
Codepanda Academy,4
Konrad Technologies,4
Facility Performance Consulting,4
Iron Mountain,4
Data Patterns,4
"Key Management Group, Inc.",4
Compunnel,4
Evoke HR Solution,4
Ujjivan Small Finance Bank,4
Aon,4
Louis Dreyfus Company,4
A Client of Anlage,4
Kalam Academy,4
Mckinsol Consulting,4
syniti,4
IT Services & Consulting,4
Here Technologies,4
Keysight Technologies,4
Boston Consulting Group,4
SmarTek21,4
Drishti Ferry,4
Mercados Energy Markets,4
Zentek Infosoft,4
A Global Giant,4
Edgemed Healthcare,4
CS Disco,4
Pgagi,4
Viga Entertainment Technology,4
Millennium Organisation,4
TOP MNC Company,4
Cloudforti,4
Systechnosoft Technologies,4
Cybage,4
Vrinda Global,4
KP Group,4
Fusionpact Technologies,4
Noida Institute of Engineering Technology (NIET),4
Radiansys Technologies,4
Vensure,4
Pulsehrm,4
Medreview,4
Quickbase,4
SE2,4
Onemagnify,4
Precision For Medicine,4
Mhtechin,4
Pelocal,4
Nutrabay,4
KPMG India,4
Mongodb,4
Speraspect,4
FORVIA HELLA,4
Think 360,4
Eice Technology,4
Indus Valley Partners,4
Aqilea,4
Haleon,4
Spectral Consultants,4
A.P. Moller Maersk,4
Megalog Softwares,4
PrimaFelicitas,4
Moneymul Technologies Pvt Ltd,4
Infyni,3
Fortune 500 Product-based MNC,3
Kiebot,3
Artdex And Cognoscis Technologies,3
Sandhata Technologies,3
Qcentrio,3
Elios Technologies,3
LanceSof,3
ZS Associates (India) Pvt Ltd,3
Dew Solutions,3
Daftar Route,3
Bytespoke Com,3
CSB Bank,3
Pulsepoint,3
Intellistride,3
Progressive Infovision (PIPL),3
Opstree Solutions,3
Philips,3
Delta,3
Familybuds,3
Glosap Systems,3
Multinational Company,3
Miles IT,3
JustAnswer Innovations India Private Limited,3
Qnovate,3
Future Search&selection,3
Connectheor,3
Credit Wise Capital Pvt. LTD.,3
Wiley,3
Indimedi,3
Sagittarius Communications,3
Pragyan School,3
Trbitix,3
Dreamsol Telesolutions,3
Ebix,3
LeadSquared,3
Fountain9,3
Ydts Global,3
Blink Health,3
Superprocure,3
Mabbit Communications,3
Red Apple Technologies,3
Outsourcedwell,3
Optimum Info,3
ZeMoSo Technologies,3
Warner Bros. Discovery,3
Tata Capital,3
Peoples Growth Hr Solutions,3
Purview Service,3
Amazon,3
Tresvista Financial Services,3
Creative Hands HR,3
Red & White Education,3
Galaxy Capital Partners,3
TekPillar,3
Datametica,3
Fastly,3
Myvirtualdesks,3
Elevati Infotech,3
HMH Technology Private Limited,3
E-stone Information Technology,3
BillDesk,3
Visionet Systems,3
Hilabs,3
Project44,3
First Advantage,3
DIGITAP.AI,3
Groupm Media,3
Magenta Ev Solutions,3
Regnology,3
NetApp,3
Mauve Technologies,3
Igreentree,3
Unlimited Innovations,3
Data Nova,3
Edify Group,3
Cct Digisol,3
Ecolab Life Sciences,3
Pramerica Life Insurance,3
Align Technology,3
Smart Ims,3
Flexera Software,3
Diageo,3
Tata International,3
Curai Health,3
Logmein,3
Tsmg Holding,3
Isarva Infotech,3
Open Fabric,3
Artemis Health,3
Sitka Ai,3
Imurgence,3
Integrichain,3
HRSOLUTIONS,3
First Meridian Business Services,3
purview services,3
Rudder Analytics,3
CLIENT OF IT SCIENT,3
Black & Veatch,3
Northern Trust,3
VDartDigital,3
Bill Gosling,3
First Citizens India,3
Offshore Universal Textiles,3
Client of Connexion Group,3
Hudson Data,3
TMD - The Modern Dimension,3
Sunbrilo Technology,3
Zectos Software,3
Cognitus,3
Sensabyte Technologies,3
Burgeon IT Services,3
Rxlogix Corporation,3
Codemonk,3
Candescent,3
Dentsu Global Services,3
Apidel Technologies,3
Humming Brains,3
Intellics Global Services Mumbai,3
Edgematics,3
Synoptek,3
Infocusp Innovations,3
NCS Group,3
ADP Private Limited,3
The Entrepreneurship Network (TEN),3
Exela Technologies,3
Icloudsys,3
Garrett,3
Tsys Global Solutions,3
PTC,3
Clsa,3
Codevian Technologies,3
Circle K,3
Cognitio Analytics,3
Talentico Consultancy Services,3
Simpliigence,3
Stratycon Business Solutions Pvt Ltd,3
Worldline,3
Covergo,3
Getoncrm Solutions,3
Rearc,3
Keywords Studios,3
delaPlex,3
Opplane,3
Multicloud4u Technologies,3
V Patrol,3
TMP Worldwide,3
Talentoj,3
NuStar Technologies,3
Trigger Education Services,3
V2 Retail,3
IPE Global,3
Magellanic Cloud,3
R Systems International,3
Alt-s Technology,3
Cambium Learning Group,3
Groundtruth,3
Nikhil Medico,3
Covalense Global,3
TOP MNC,3
Signify,3
Bolster,3
Valeo,3
TIGI HR SOLUTION PVT. LTD.,3
Magna International,3
Levi Strauss,3
Infovision Labs,3
Pice App,3
Tower Research Capital,3
Saguna Consulting Services,3
Fluor,3
Bravura Solutions,3
Western Digital,3
Global Survey,3
Automatiq,3
Project Tech4dev,3
Kaseya Software,3
Sumedha Softech,3
Ochin,3
Mansa Inc.,3
East India Securities,3
Vivirooms Ecomm,3
Finthrive,3
The Hi Tech Robotic Systemz,3
Anra Technologies,3
Integreon,3
ASL HR Solutions Pvt. Ltd,3
Swiggy,3
Cbts,3
Hoffmann La Roche,3
Qube Cinema,3
IMC,3
e Zest,3
Shavish HR,3
Tvarit Gmbh,3
Data Axle Solutions,3
Anrgi Tech,3
Axicorp,3
Fecund Software,3
Alcon Laboratories,3
Coindcx,3
ALT Digital Technologies,3
Acro Technologies,3
GS Lab Gavs,3
Gray Acumen Technologies,3
Tronlogix Tech,3
Teliolabs Communication,3
Virtuetech Inc,3
Colan Infotech,3
Btree Systems (opc),3
Adhiran Infotech,3
Myridius x Aethereus,3
Verdantas,3
Trimble,3
